"ID","Forest","NonForest"
11784,80.28,0.719999999999999
11785,79.47,1.53
11786,80.37,0.629999999999995
11787,80.46,0.539999999999992
11788,80.37,0.629999999999995
11789,79.56,1.44
11790,78.12,2.87999999999998
11791,77.31,3.68999999999998
11792,76.77,4.22999999999999
11793,79.29,1.70999999999999
11794,79.83,1.17
11795,53.37,27.63
11796,0,81
12193,5.67,75.33
12194,9,72
12195,25.47,55.53
12196,69.93,11.07
12197,78.3,2.7
12198,38.52,42.48
12199,72.9,8.09999999999999
12200,33.66,47.34
12201,0,81
12202,0,81
12203,0,81
12204,0,81
12205,0,81
12206,9.27,71.73
12207,45.63,35.37
12208,9,72
12209,0,81
12210,0,81
12211,8.91,72.09
12212,51.3,29.7
12213,16.92,64.08
12214,32.13,48.87
12215,51.48,29.52
12216,26.55,54.45
12217,5.67,75.33
12218,0,81
12219,24.03,56.97
12220,8.91,72.09
12221,18,63
12222,53.82,27.18
12223,46.44,34.56
12224,30.6,50.4
12242,17.1,63.9
12243,16.11,64.89
12244,76.05,4.95
12245,69.93,11.07
12246,79.65,1.34999999999999
12247,71.55,9.45
12248,77.76,3.23999999999999
12249,61.02,19.98
12250,78.39,2.61
12251,69.39,11.61
12252,78.3,2.7
12253,69.3,11.7
12254,78.48,2.52
12255,75.06,5.94
12256,55.35,25.65
12257,75.96,5.03999999999999
12258,78.48,2.52
12259,67.14,13.86
12260,31.77,49.23
12261,49.14,31.86
12262,55.17,25.83
12263,26.19,54.81
12264,69.75,11.25
12265,61.92,19.08
12266,0,81
12267,0,81
12268,0,81
12269,41.49,39.51
12270,4.5,76.5
12271,45.45,35.55
12272,11.43,69.57
12273,49.05,31.95
12274,3.42,77.58
12275,0,81
12276,0,81
12277,50.94,30.06
12278,3.6,77.4
12279,6.66,74.34
12280,8.01,72.99
12281,15.48,65.52
12282,47.7,33.3
12283,24.93,56.07
12284,4.95,76.05
12344,17.91,63.09
12345,8.73,72.27
12346,35.73,45.27
12347,35.01,45.99
12348,42.75,38.25
12349,28.71,52.29
12350,54.63,26.37
12351,58.41,22.59
12352,43.38,37.62
12353,44.55,36.45
12354,53.37,27.63
12355,43.29,37.71
12356,70.65,10.35
12357,49.41,31.59
12358,54.72,26.28
12359,55.98,25.02
12360,31.95,49.05
12361,57.51,23.49
12362,42.3,38.7
12363,20.16,60.84
12364,66.42,14.58
12365,64.98,16.02
12366,44.64,36.36
12367,77.76,3.24000000000001
12368,74.79,6.21000000000001
12369,79.2,1.80000000000001
12370,79.2,1.80000000000001
12371,78.75,2.25
12372,79.65,1.35000000000002
12373,79.56,1.44
12374,79.02,1.98
12375,78.75,2.24999999999999
12376,79.92,1.08000000000001
12377,79.29,1.71000000000001
12378,79.02,1.97999999999999
12379,75.6,5.40000000000001
12380,58.23,22.77
12381,66.6,14.4
12382,68.67,12.33
12383,73.98,7.02
12384,73.53,7.47
12385,80.37,0.629999999999995
12386,79.83,1.17
12387,79.74,1.26000000000001
12388,80.37,0.63000000000001
12389,80.19,0.810000000000002
12390,80.1,0.900000000000006
12391,52.74,28.26
12392,0,81
12393,0,81
12394,0,81
12395,17.1,63.9
12396,51.03,29.97
12397,17.46,63.54
12398,50.4,30.6
12399,77.31,3.69
12400,69.84,11.16
